jsonkey_identifier	rdfs:type	schema:name	schema:sameAs	schema:image	sosa:featureOfInterest
1978_50514_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50514_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50514_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50514_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
1978_50521_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50521_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50521_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50521_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
1978_21752_100	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_21752_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_21752_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_21752_100?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_3
1978_22229_100	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_22229_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_22229_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_22229_100?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_3
1978_50211_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50211_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50211_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50211_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
1978_50213_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50213_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50213_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50213_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
1978_50522_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50522_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50522_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50522_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
1978_21790_100	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_21790_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_21790_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_21790_100?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_3
1978_22281_100	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_22281_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_22281_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_22281_100?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_3
1978_50204_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50204_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50204_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50204_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
1978_50826_300	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_50826_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50826_300	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_50826_300?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_3
1978_22513_100	 http://opengeospatial/def/ontology/gwml2#GW_Well	1978_22513_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_22513_100	http://ngwd-bdnes.cits.nrcan.gc.ca/Reference/uri-cgi/feature/gsc/waterwell/ca.qc.gov.wells.1978_22513_100?format=png	https://opengeospatial.github.io/ELFIE/nrcan/aquifer/cr/Richelieu_contexte_1
